고객ID,Recency,Frequency,Monetary,Length,평균구매주기,구매카테고리수,총납세액,총구매수량,총할인금액,총배송료,최다구매월구매횟수,고유거래일수,성별,used개수,not used개수,Used_ratio_per_F,Clicked_ratio_per_F,second_category_pca_1,second_category_pca_2,third_category_pca_1,third_category_pca_2,third_category_pca_3
0,USER_0000,-0.36596091310439344,0.6931471805599453,4.6288007714125685,0.0,-0.4751942577066871,-1.2714542523852794,1.7401503354948247,1.3862943611198906,2.3318525906746137,4.330733340286331,0.6931471805599453,0.6931471805599453,0,1.0986122886681098,0.0,0.6931471805599453,0.0,0.23273959475265102,0.8869662224842012,-0.2931909842114405,-0.5375680059706764,0.6910018554525929
1,USER_0001,-0.8370006387594848,3.4657359027997265,9.642688797019785,5.4116460518550396,0.196980502807615,1.2381186450958501,7.634775727484449,5.8377304471659395,6.662555262386009,5.661083720123085,2.9444389791664403,1.3862943611198906,1,3.044522437723423,2.70805020110221,0.010695289116747959,0.013881696486155875,0.7229530447318413,-0.4219380665422754,0.7526574882316815,0.12098707092926761,0.028289165467979528
2,USER_0002,-0.6996140521100832,2.1972245773362196,7.375935872507592,4.787491742782046,0.05373014400948506,-0.016667803644714606,5.321060763578308,5.3471075307174685,4.880564573100714,4.4075725416416205,1.6094379124341003,1.0986122886681098,1,2.4849066497880004,0.6931471805599453,0.05806380095476118,0.05806380095476118,0.1426942356874696,0.22819091786513473,-0.2618272196968606,-0.3658816509922219,-0.6777748326043758
3,USER_0003,-1.2491603987076898,2.4849066497880004,7.272056111776436,0.0,-1.46692751092451,-0.644061028014997,5.005717890125522,3.091042453358316,5.031855217207655,4.423528398098894,2.4849066497880004,0.6931471805599453,1,1.9459101490553132,1.3862943611198906,0.031581572050298934,0.041890941709160176,-0.6682103120976638,-0.17161378304904668,-0.532305170357489,0.7076517476400435,0.08060038918554635
4,USER_0004,-0.36596091310439344,2.6390573296152584,7.341465576110603,0.0,-0.4751942577066871,0.29702880854042657,5.028866753113201,4.04305126783455,5.3363258067337425,5.046581420869725,2.6390573296152584,0.6931471805599453,0,2.4849066497880004,2.1972245773362196,0.0232323014932685,0.035680595019836454,0.23273959475263656,0.8869662224841527,-0.5323051703575055,0.7076517476400371,0.08060038918555286
5,USER_0005,-0.14025437789466214,1.3862943611198906,6.562486606914313,0.0,-0.22175131521768793,-0.9577576402001382,4.56098943214562,4.465908118654584,2.135112739050297,2.9444389791664403,1.3862943611198906,0.6931471805599453,1,1.0986122886681098,1.791759469228055,0.040821994520255124,0.17185025692665923,0.7229530447318352,-0.4219380665422805,-0.5323051703574906,0.7076517476400427,0.08060038918554616
6,USER_0006,0.4387319515563877,3.8066624897703196,8.953983954201973,3.4339872044851463,-0.28786686543220946,1.2381186450958501,6.6077036851273485,6.419994928147142,5.557711840935765,5.837147186723625,3.6888794541139363,1.0986122886681098,0,3.091042453358316,2.9444389791664403,0.005231049417552542,0.012903404835907887,0.7229530447318354,-0.4219380665422803,0.7526574882316829,0.12098707092927259,0.02828916546798568
7,USER_0007,-1.180467105382989,1.791759469228055,6.283556008898412,0.0,-1.3897927023409014,-0.9577576402001382,4.032277650805883,3.1354942159291497,3.4581761497371404,3.675794214565281,1.791759469228055,0.6931471805599453,0,1.3862943611198906,1.0986122886681098,0.04196419909903214,0.12095261041766252,0.23273959475266703,0.8869662224841754,-0.5323051703574913,0.7076517476400425,0.08060038918554643
8,USER_0008,-1.0234538634979584,3.6375861597263857,9.29102967671462,4.941642422609304,0.09780717748583273,0.924422032910709,6.795349335817628,6.045005314036012,5.8264454359355815,5.815621956411737,3.091042453358316,1.0986122886681098,0,3.091042453358316,2.5649493574615367,0.007343974255758499,0.015325970478226801,-0.6682103120976484,-0.17161378304903518,0.7526574882316829,0.12098707092927259,0.02828916546798568
9,USER_0009,-0.44446753404690864,3.6888794541139363,8.629715962776103,4.290459441148391,-0.9930994010537724,1.2381186450958501,6.31480034153811,5.225746673713202,5.362197858732036,5.709996461122668,3.2188758248682006,1.6094379124341003,1,3.091042453358316,2.3978952727983707,0.007773498333380379,0.01402236998143266,-0.6682103120976484,-0.17161378304903518,0.7526574882316829,0.12098707092927259,0.02828916546798568
